FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.9795444,9795444,POINT (16.384543257529177 48.151085856246574),Pensionisten-Wohnhaus Laaer Berg,Pensionisten-Wohnhaus Laaer Berg,"67A, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Pensionisten-Wohnhaus%20Laaer%20Berg&start=1,
OEFFHALTESTOGD.9795445,9795445,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,"68B, N68",,2,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795446,9795446,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795447,9795447,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795448,9795448,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,13,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795449,9795449,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,12,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795450,9795450,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,"68B, N68",,2,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795451,9795451,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795452,9795452,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795453,9795453,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,13,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795454,9795454,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,12,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795455,9795455,POINT (16.315597915996552 48.16647422601536),Eckartsaugasse,Eckartsaugasse,64B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Eckartsaugasse&start=1,
OEFFHALTESTOGD.9795456,9795456,POINT (16.293661267778536 48.198751985776454),Hanusch-Krankenhaus,Hanusch-Krankenhaus,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Hanusch-Krankenhaus&start=1,
OEFFHALTESTOGD.9795457,9795457,POINT (16.47536253612686 48.16745072151392),Zinnergasse/Kaserne,Zinnergasse/Kaserne,73A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Zinnergasse/Kaserne&start=1,
OEFFHALTESTOGD.9795458,9795458,POINT (16.23331713443967 48.20620022346486),Wienflussaufsicht,Wienflussaufsicht,"453, 450, 451, N49, 50A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795459,9795459,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,"453, 450, 451, N49, 50A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795460,9795460,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,N49,,10,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795461,9795461,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,N49,,11,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795462,9795462,POINT (16.233182434890587 48.206152324041085),Wienflussaufsicht,Wienflussaufsicht,"450, 451, N49, 50A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795463,9795463,POINT (16.23314207345065 48.20615228792001),Wienflussaufsicht,Wienflussaufsicht,"450, 451, N49, 50A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795464,9795464,POINT (16.23314207345065 48.20615228792001),Wienflussaufsicht,Wienflussaufsicht,N49,,10,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795465,9795465,POINT (16.23314207345065 48.20615228792001),Wienflussaufsicht,Wienflussaufsicht,N49,,11,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795466,9795466,POINT (16.32975533741021 48.160620245229175),Am Schöpfwerk/Eibesbrunnerg.,Am Schöpfwerk/Eibesbrunnerg.,"16A, N65",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Schöpfwerk/Eibesbrunnerg.&start=1,
OEFFHALTESTOGD.9795467,9795467,POINT (16.32975533741021 48.160620245229175),Am Schöpfwerk/Eibesbrunnerg.,Am Schöpfwerk/Eibesbrunnerg.,N65,,10,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Schöpfwerk/Eibesbrunnerg.&start=1,
OEFFHALTESTOGD.9795468,9795468,POINT (16.32975533741021 48.160620245229175),Am Schöpfwerk/Eibesbrunnerg.,Am Schöpfwerk/Eibesbrunnerg.,N65,,11,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Schöpfwerk/Eibesbrunnerg.&start=1,
OEFFHALTESTOGD.9795469,9795469,POINT (16.45283748981623 48.26521982848163),Aderklaaer Straße,Aderklaaer Straße,"520, 28A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Aderklaaer%20Straße&start=1,
OEFFHALTESTOGD.9795470,9795470,POINT (16.45279708191404 48.265219869512514),Aderklaaer Straße,Aderklaaer Straße,"520, 28A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Aderklaaer%20Straße&start=1,
OEFFHALTESTOGD.9795471,9795471,POINT (16.452680281738846 48.264938871252205),Aderklaaer Straße,Aderklaaer Straße,28A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aderklaaer%20Straße&start=1,
OEFFHALTESTOGD.9795472,9795472,POINT (16.448152811545786 48.26996774976013),Großfeldsiedlung U (Kürschnerg.),Großfeldsiedlung U (Kürschnerg.),"29B, N25, 29A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Großfeldsiedlung&start=1,
OEFFHALTESTOGD.9795473,9795473,POINT (16.448152811545786 48.26996774976013),Großfeldsiedlung U (Kürschnerg.),Großfeldsiedlung U (Kürschnerg.),N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Großfeldsiedlung&start=1,
OEFFHALTESTOGD.9795474,9795474,POINT (16.448152811545786 48.26996774976013),Großfeldsiedlung U (Kürschnerg.),Großfeldsiedlung U (Kürschnerg.),N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Großfeldsiedlung&start=1,
OEFFHALTESTOGD.9795475,9795475,POINT (16.447515014372627 48.27019494952717),Großfeldsiedlung U (Dopschstr.),Großfeldsiedlung U (Dopschstr.),"29B, 29A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Großfeldsiedlung&start=1,
OEFFHALTESTOGD.9795476,9795476,POINT (16.449419486467864 48.25708661004093),Rennbahnweg,Rennbahnweg,"N25, 25A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795477,9795477,POINT (16.449419486467864 48.25708661004093),Rennbahnweg,Rennbahnweg,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795478,9795478,POINT (16.449419486467864 48.25708661004093),Rennbahnweg,Rennbahnweg,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795479,9795479,POINT (16.44979678558627 48.25714041008979),Rennbahnweg,Rennbahnweg,"N25, 27A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795480,9795480,POINT (16.44979678558627 48.25714041008979),Rennbahnweg,Rennbahnweg,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795481,9795481,POINT (16.44979678558627 48.25714041008979),Rennbahnweg,Rennbahnweg,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795482,9795482,POINT (16.44890738893015 48.256835412139054),Rennbahnweg,Rennbahnweg,25A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795483,9795483,POINT (16.450120083965245 48.25727200874454),Rennbahnweg,Rennbahnweg,25A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rennbahnweg&start=1,
OEFFHALTESTOGD.9795484,9795484,POINT (16.445781331715512 48.27606032226652),Kürschnergasse,Kürschnergasse,"29B, N25",,2,https://anachb.vor.at?P=SQ&input=Wien%20Kürschnergasse&start=1,
OEFFHALTESTOGD.9795485,9795485,POINT (16.445781331715512 48.27606032226652),Kürschnergasse,Kürschnergasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Kürschnergasse&start=1,
OEFFHALTESTOGD.9795486,9795486,POINT (16.445781331715512 48.27606032226652),Kürschnergasse,Kürschnergasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Kürschnergasse&start=1,
OEFFHALTESTOGD.9795487,9795487,POINT (16.446131629693014 48.276215721405784),Kürschnergasse,Kürschnergasse,29B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Kürschnergasse&start=1,
OEFFHALTESTOGD.9795488,9795488,POINT (16.442780915404285 48.25437712787003),Anton-Sattler-Gasse,Anton-Sattler-Gasse,31A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795489,9795489,POINT (16.442682115720448 48.2542216280049),Anton-Sattler-Gasse,Anton-Sattler-Gasse,31A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795490,9795490,POINT (16.442933614351794 48.2539525294072),Anton-Sattler-Gasse,Anton-Sattler-Gasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795491,9795491,POINT (16.442933614351794 48.2539525294072),Anton-Sattler-Gasse,Anton-Sattler-Gasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795492,9795492,POINT (16.442718015895984 48.25401832892178),Anton-Sattler-Gasse,Anton-Sattler-Gasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795493,9795493,POINT (16.442718015895984 48.25401832892178),Anton-Sattler-Gasse,Anton-Sattler-Gasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Anton-Sattler-Gasse&start=1,
OEFFHALTESTOGD.9795494,9795494,POINT (16.31134900154014 48.213707002658204),Weinheimergasse,Weinheimergasse,44,,1,https://anachb.vor.at?P=SQ&input=Wien%20Weinheimergasse&start=1,
OEFFHALTESTOGD.9795495,9795495,POINT (16.420651121117363 48.29885179955267),Stammersdorfer Straße/Brünner Straße,Stammersdorfer Straße/Brünner Straße,510,,3,https://anachb.vor.at?P=SQ&input=Wien%20Stammersdorfer%20Straße/Brünner%20Straße&start=1,
OEFFHALTESTOGD.9795496,9795496,POINT (16.444038529911097 48.1968239007381),Aspernallee/Schule,Aspernallee/Schule,77A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspernallee/Schule&start=1,
OEFFHALTESTOGD.9795497,9795497,POINT (16.443912731154622 48.196859800963075),Aspernallee/Schule,Aspernallee/Schule,77A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspernallee/Schule&start=1,
OEFFHALTESTOGD.9795498,9795498,POINT (16.34095731773218 48.18494852202672),Steinhagegasse,Steinhagegasse,12A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Steinhagegasse&start=1,
OEFFHALTESTOGD.9795499,9795499,POINT (16.35625977772549 48.13462574501366),Josef-Prangl-Straße,Josef-Prangl-Straße,"200, 120, 210, 67B",,3,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795500,9795500,POINT (16.35621947231333 48.134625752092134),Josef-Prangl-Straße,Josef-Prangl-Straße,"200, 120, 210, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795501,9795501,POINT (16.35658317595905 48.1345777453625),Josef-Prangl-Straße,Josef-Prangl-Straße,"200, N67, 120, 210, 67B",,3,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795502,9795502,POINT (16.35654287058454 48.134577752554385),Josef-Prangl-Straße,Josef-Prangl-Straße,"200, N67, 120, 210, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795503,9795503,POINT (16.35654287058454 48.134577752554385),Josef-Prangl-Straße,Josef-Prangl-Straße,N67,,10,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795504,9795504,POINT (16.35654287058454 48.134577752554385),Josef-Prangl-Straße,Josef-Prangl-Straße,N67,,11,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Prangl-Straße&start=1,
OEFFHALTESTOGD.9795505,9795505,POINT (16.41824796911419 48.20625397244378),Pierre-de-Coubertin-Platz,Pierre-de-Coubertin-Platz,77A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pierre-de-Coubertin-Platz&start=1,
OEFFHALTESTOGD.9795506,9795506,POINT (16.418068370004406 48.20621807222689),Pierre-de-Coubertin-Platz,Pierre-de-Coubertin-Platz,77A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pierre-de-Coubertin-Platz&start=1,
OEFFHALTESTOGD.9795507,9795507,POINT (16.36104350221869 48.17312426568618),Inzersdorfer Straße/Bernhardtstalgasse,Inzersdorfer Straße/Bernhardtstalgasse,7A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorfer%20Straße/Bernhardtstalgasse&start=1,
OEFFHALTESTOGD.9795508,9795508,POINT (16.448602026052832 48.2819309928289),Kainachgasse,Kainachgasse,32A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Kainachgasse&start=1,
OEFFHALTESTOGD.9795509,9795509,POINT (16.43849586137701 48.200302687916825),Stadlauer Brücke,Stadlauer Brücke,"77A, 79A, 79B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Stadlauer%20Brücke&start=1,
OEFFHALTESTOGD.9795510,9795510,POINT (16.43890915961989 48.200218888158176),Stadlauer Brücke,Stadlauer Brücke,77A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Stadlauer%20Brücke&start=1,
OEFFHALTESTOGD.9795511,9795511,POINT (16.389124730199118 48.21957882683383),Kleine Stadtgutgasse,Kleine Stadtgutgasse,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Kleine%20Stadtgutgasse&start=1,
OEFFHALTESTOGD.9795512,9795512,POINT (16.385684251048534 48.2227689133906),Volkertplatz,Volkertplatz,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Volkertplatz&start=1,
OEFFHALTESTOGD.9795513,9795513,POINT (16.488352187550763 48.25090791576528),Pichlgasse,Pichlgasse,85A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pichlgasse&start=1,
OEFFHALTESTOGD.9795514,9795514,POINT (16.40535724435336 48.215442835894976),Welthandelsplatz,Welthandelsplatz,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Welthandelsplatz&start=1,
OEFFHALTESTOGD.9795515,9795515,POINT (16.358124138070863 48.260447751378365),Nußdorf Friedhof,Nußdorf Friedhof,38B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Nußdorf%20Friedhof&start=1,
OEFFHALTESTOGD.9795516,9795516,POINT (16.34642809590534 48.260106860225456),Heiligenstädter Friedhof,Heiligenstädter Friedhof,38B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Heiligenstädter%20Friedhof&start=1,
OEFFHALTESTOGD.9795517,9795517,POINT (16.440795655414746 48.27583912667837),Frohes-Schaffen-Weg,Frohes-Schaffen-Weg,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Frohes-Schaffen-Weg&start=1,
OEFFHALTESTOGD.9795518,9795518,POINT (16.440831655279684 48.2757434264792),Frohes-Schaffen-Weg,Frohes-Schaffen-Weg,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Frohes-Schaffen-Weg&start=1,
OEFFHALTESTOGD.9795519,9795519,POINT (16.44615863046956 48.277094617169176),Rosannagasse,Rosannagasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rosannagasse&start=1,
OEFFHALTESTOGD.9795520,9795520,POINT (16.446203529941002 48.277004917754674),Rosannagasse,Rosannagasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rosannagasse&start=1,
OEFFHALTESTOGD.9795521,9795521,POINT (16.434345786561607 48.275582031349366),Tauschekgasse,Tauschekgasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tauschekgasse&start=1,
OEFFHALTESTOGD.9795522,9795522,POINT (16.43419308694773 48.27579133073679),Tauschekgasse,Tauschekgasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tauschekgasse&start=1,
OEFFHALTESTOGD.9795523,9795523,POINT (16.435163286894007 48.27901371460639),Petritschgasse,Petritschgasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Petritschgasse&start=1,
OEFFHALTESTOGD.9795524,9795524,POINT (16.43501058744943 48.279037614785736),Petritschgasse,Petritschgasse,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Petritschgasse&start=1,
OEFFHALTESTOGD.9795525,9795525,POINT (16.430348312994823 48.28032891124845),"Leopoldau, Betriebsgarage","Leopoldau, Betriebsgarage",36B,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Leopoldau,%20Betriebsgarage&start=1",
OEFFHALTESTOGD.9795526,9795526,POINT (16.430204613269265 48.280245211826156),"Leopoldau, Betriebsgarage","Leopoldau, Betriebsgarage",36B,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Leopoldau,%20Betriebsgarage&start=1",
OEFFHALTESTOGD.9795527,9795527,POINT (16.42631493326502 48.28101041101195),Großbauerstraße,Großbauerstraße,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Großbauerstraße&start=1,
OEFFHALTESTOGD.9795528,9795528,POINT (16.426323932932135 48.28092671089925),Großbauerstraße,Großbauerstraße,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Großbauerstraße&start=1,
OEFFHALTESTOGD.9795529,9795529,POINT (16.40006624079579 48.26572220007101),Ignaz-Köck-Straße,Ignaz-Köck-Straße,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ignaz-Köck-Straße&start=1,
OEFFHALTESTOGD.9795530,9795530,POINT (16.399051145588956 48.26568040054819),Ignaz-Köck-Straße,Ignaz-Köck-Straße,36B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ignaz-Köck-Straße&start=1,
OEFFHALTESTOGD.9795531,9795531,POINT (16.38085136984101 48.21925563307962),Taborstraße,Taborstraße,2,,1,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795532,9795532,POINT (16.380842369787352 48.218800735563335),Taborstraße,Taborstraße,N29,,11,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795533,9795533,POINT (16.380842369787352 48.218800735563335),Taborstraße,Taborstraße,N29,,10,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795534,9795534,POINT (16.3798541749141 48.219560932194064),Taborstraße,Taborstraße,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795535,9795535,POINT (16.38085136994053 48.21875293610606),Taborstraße,Taborstraße,2,,1,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795536,9795536,POINT (16.38045607201785 48.21933343337224),Taborstraße,Taborstraße,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795537,9795537,POINT (16.3808692695913 48.2192975333289),Taborstraße,Taborstraße,N29,,11,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795538,9795538,POINT (16.3808692695913 48.2192975333289),Taborstraße,Taborstraße,N29,,10,https://anachb.vor.at?P=SQ&input=Wien%20Taborstraße&start=1,
OEFFHALTESTOGD.9795539,9795539,POINT (16.40664184194865 48.2179568236587),Messe-Prater,Messe-Prater,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795540,9795540,POINT (16.40664184194865 48.2179568236587),Messe-Prater,Messe-Prater,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795541,9795541,POINT (16.403542657465433 48.21768742665249),Messe-Prater,Messe-Prater,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795542,9795542,POINT (16.406650841891434 48.21784912411428),Messe-Prater,Messe-Prater,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795543,9795543,POINT (16.406650841891434 48.21784912411428),Messe-Prater,Messe-Prater,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795544,9795544,POINT (16.40350675781035 48.218208224657616),Messe-Prater,Messe-Prater,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Messe-Prater&start=1,
OEFFHALTESTOGD.9795545,9795545,POINT (16.413554273027287 48.21507170557725),Krieau,Krieau,"VAL 3, 82A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Krieau&start=1,
OEFFHALTESTOGD.9795546,9795546,POINT (16.413513904552175 48.215071732782725),Krieau,Krieau,"VAL 3, 82A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Krieau&start=1,
OEFFHALTESTOGD.9795547,9795547,POINT (16.413167976523095 48.21555060413848),Krieau,Krieau,VAL 3,,3,https://anachb.vor.at?P=SQ&input=Wien%20Krieau&start=1,
OEFFHALTESTOGD.9795548,9795548,POINT (16.42157622530037 48.210923417581874),Stadion,Stadion,"VAL 3, 77A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795549,9795549,POINT (16.421535860093954 48.21092344760202),Stadion,Stadion,"VAL 3, 77A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795550,9795550,POINT (16.422088223272503 48.211144916046756),Stadion,Stadion,"VAL 3, N81",,3,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795551,9795551,POINT (16.422047857892565 48.211144946246755),Stadion,Stadion,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795552,9795552,POINT (16.422047857892565 48.211144946246755),Stadion,Stadion,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795553,9795553,POINT (16.421302261213704 48.21101924726699),Stadion,Stadion,"77A, 11A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795554,9795554,POINT (16.42211075608993 48.210941447519154),Stadion,Stadion,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795555,9795555,POINT (16.42211075608993 48.210941447519154),Stadion,Stadion,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795556,9795556,POINT (16.42164365929523 48.21086354840483),Stadion,Stadion,"77A, 11A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Stadion&start=1,
OEFFHALTESTOGD.9795557,9795557,POINT (16.427114328616913 48.20853485597357),Marathonweg,Marathonweg,"77A, N81, 79A, 79B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795558,9795558,POINT (16.427114328616913 48.20853485597357),Marathonweg,Marathonweg,N81,,10,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795559,9795559,POINT (16.427114328616913 48.20853485597357),Marathonweg,Marathonweg,N81,,11,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795560,9795560,POINT (16.427114328616913 48.20853485597357),Marathonweg,Marathonweg,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795561,9795561,POINT (16.427114328616913 48.20853485597357),Marathonweg,Marathonweg,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795562,9795562,POINT (16.426521432183595 48.20887015443416),Marathonweg,Marathonweg,"77A, N81",,2,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795563,9795563,POINT (16.426521432183595 48.20887015443416),Marathonweg,Marathonweg,N81,,10,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795564,9795564,POINT (16.426521432183595 48.20887015443416),Marathonweg,Marathonweg,N81,,11,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795565,9795565,POINT (16.426521432183595 48.20887015443416),Marathonweg,Marathonweg,N81,,13,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795566,9795566,POINT (16.426521432183595 48.20887015443416),Marathonweg,Marathonweg,N81,,12,https://anachb.vor.at?P=SQ&input=Wien%20Marathonweg&start=1,
OEFFHALTESTOGD.9795567,9795567,POINT (16.436995771166284 48.20148818320949),Schipanygasse,Schipanygasse,"77A, 79A, 79B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schipanygasse&start=1,
OEFFHALTESTOGD.9795568,9795568,POINT (16.436905870700976 48.20143438391592),Schipanygasse,Schipanygasse,"77A, 79A, 79B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schipanygasse&start=1,
OEFFHALTESTOGD.9795569,9795569,POINT (16.395969900612688 48.222990306081996),Leopold-Moses-Gasse,Leopold-Moses-Gasse,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Leopold-Moses-Gasse&start=1,
